epoch,startPos,learnRate,MSE,MAE,RMSE,meanLoss,totalLoss
0,1,0.01,162.25350049460812,4.230447418016257,12.737876608548543,4.177986279814488,1182.3701171875
1,1,0.01,162.22615317352975,4.229015301717085,12.736803098640166,4.157644966044611,1176.613525390625
2,1,0.01,162.30207028082305,4.2253371371139945,12.739782976205797,4.155174659755963,1175.9144287109375
3,1,0.01,162.28437224022997,4.22620496259876,12.739088359856446,4.154985731145097,1175.8609619140625
4,1,0.01,162.33200912291082,4.22484528254775,12.740957935842612,4.153003706106449,1175.300048828125
5,1,0.01,162.37122754662397,4.229663070234303,12.74249691177612,4.151828725430653,1174.967529296875
6,1,0.01,162.3141370034654,4.223384898967043,12.740256551712974,4.15142800698432,1174.8541259765625
7,1,0.01,162.34447680413462,4.224706807931001,12.741447202109132,4.150325923420937,1174.542236328125
8,1,0.01,162.31654616546345,4.224049794338664,12.74035110055698,4.1504863833370145,1174.587646484375
9,1,0.01,162.31868926903715,4.223265689648401,12.7404352072069,4.150257339747129,1174.5228271484375
10,1,0.01,162.32303319425185,4.222778167649548,12.740605683963846,4.149846700392005,1174.4066162109375
11,1,0.01,162.30686035921596,4.223798941307137,12.739970971678702,4.1496538896863955,1174.35205078125
12,1,0.01,162.32550968690364,4.22294620388976,12.740702872561766,4.149648713560071,1174.3505859375
13,1,0.01,162.31412027516026,4.223389918826874,12.74025589519929,4.1494766073597615,1174.3018798828125
14,1,0.01,162.32497066529615,4.223082046263305,12.740681719017084,4.1498397988902385,1174.4046630859375
15,1,0.01,162.31466201867687,4.223479657115706,12.74027715627399,4.149577973166961,1174.33056640625
16,1,0.01,162.3346641556119,4.223791831831028,12.741062128237658,4.149592638858215,1174.334716796875
17,1,0.01,162.33394112031294,4.223613044158631,12.741033753990017,4.149646988184629,1174.35009765625
18,1,0.01,162.30932746054498,4.223712358636322,12.740067796544293,4.1496543210302566,1174.3521728515625
19,1,0.009000000000000001,162.34182461902464,4.224678195926687,12.741343124609141,4.149485665580831,1174.304443359375
20,1,0.009000000000000001,162.3132641937268,4.223491761902256,12.7402222976574,4.149725061423366,1174.3721923828125
21,1,0.009000000000000001,162.3231157437177,4.222950111575005,12.74060892358437,4.149675888223277,1174.3582763671875
22,1,0.009000000000000001,162.31876298356121,4.22300130065078,12.740438100142445,4.149501193959805,1174.308837890625
23,1,0.009000000000000001,162.31833465779363,4.223100900909755,12.74042129043595,4.149509389493153,1174.3111572265625
24,1,0.009000000000000001,162.3101490350297,4.2237354424567615,12.740100040228478,4.149510252180875,1174.3114013671875
25,1,0.009000000000000001,162.32099160149636,4.222776733939291,12.740525562216668,4.149472725265018,1174.30078125
26,1,0.009000000000000001,162.33681328696028,4.223839483869738,12.741146466741535,4.149510683524735,1174.3115234375
27,1,0.009000000000000001,162.33292049346116,4.223409042724047,12.740993701178144,4.149524917872129,1174.3155517578125
28,1,0.009000000000000001,162.32991525726646,4.223020210190959,12.740875764925521,4.149476176015901,1174.3017578125
29,1,0.008,162.31912198430152,4.222935545409571,12.740452189161164,4.149574091072218,1174.3294677734375
30,1,0.008,162.31166021326928,4.223637682952857,12.740159348032869,4.149814349602473,1174.3974609375
31,1,0.008,162.326472537778,4.222701676941597,12.74074065891689,4.14941363115614,1174.2840576171875
