epoch,startPos,prefixLength,learnRate,MSE,MAE,RMSE,meanLoss,totalLoss
57,1,mix,0.007,166.84621905206848,4.263638901463118,12.916896649430484,4.134981296930212,1170.19970703125
57,1,1,0.007,194.7488218211264,4.974014945675208,13.955243524250173,5.680581102093447,1170.19970703125
57,1,2,0.007,94.86292583379515,2.299617182084095,9.739760050113922,17.730298591382574,1170.19970703125
57,1,3,0.007,61.15203198277072,2.1422961835329866,7.819976469451217,90.01536207932692,1170.19970703125
57,1,4,0.007,178.38157732249252,5.563350603009894,13.355956623263364,390.0665690104167,1170.19970703125
