epoch,startPos,prefixLength,learnRate,MSE,MAE,RMSE,meanLoss,totalLoss
58,1,mix,0.007,430.32927517222544,17.480614672668956,20.744379363389626,17.5821542381344,2338.426513671875
58,1,1,0.007,430.34749883167245,17.477818281248663,20.744818602043075,17.5821542381344,2338.426513671875
58,1,2,0.007,302.1030886884767,15.405228137304741,17.381112987621844,21.06690552857545,2338.426513671875
58,1,3,0.007,348.1087347284816,16.466838442466475,18.657672275192358,54.382011945857556,2338.426513671875
58,1,4,0.007,277.40485555690327,15.019949340820313,16.655475242601252,123.0750796669408,2338.426513671875
58,1,5,0.007,224.12592689864576,14.003941282629967,14.970835878421944,467.685302734375,2338.426513671875
