epoch,startPos,prefixLength,learnRate,MSE,MAE,RMSE,meanLoss,totalLoss
90,1,mix,0.007,872.514440983581,23.647798438966273,29.53835542110598,22.21295788823342,8707.4794921875
90,1,1,0.007,747.1174606851213,21.824972953647375,27.333449483830638,45.35145568847656,8707.4794921875
90,1,2,0.007,825.9246805698033,24.115532910122592,28.73890534745197,65.96575372869319,8707.4794921875
90,1,3,0.007,708.0093210132422,22.437502613434425,26.608444543288176,174.14958984375,8707.4794921875
90,1,4,0.007,861.7771141401923,21.55615254640579,29.35604050515315,458.2883943256579,8707.4794921875
