epoch,startPos,learnRate,MSE,MAE,RMSE,meanLoss,totalLoss
1,1,0.01,1712.9549256625794,32.914086582139134,41.38785964099351,38.50103251139323,7392.1982421875
2,1,0.01,1182.7805165971345,26.194523900126416,34.391576244730835,28.934275309244793,5555.380859375
3,1,0.01,920.5425897366208,23.267643778274458,30.34044478475259,24.450154622395832,4694.4296875
4,1,0.01,798.8057739317497,22.136197976768017,28.26315222921445,22.563128153483074,4332.12060546875
5,1,0.01,745.5466502600945,21.738070659339428,27.304700149609673,21.866811116536457,4198.427734375
6,1,0.01,723.5565644004217,21.631803245594103,26.899006754904942,21.657872517903645,4158.3115234375
7,1,0.01,809.4908045698089,22.22808165475726,28.451551883329824,21.5702387491862,4141.48583984375
8,1,0.01,792.6287803130657,22.081638112664223,28.15366371030715,21.473899841308594,4122.98876953125
9,1,0.01,779.7751360154111,21.973958329608042,27.924454086255853,21.43030039469401,4114.61767578125
10,1,0.01,774.7844188838211,21.945727816472452,27.834949593700024,21.4211908976237,4112.86865234375
11,1,0.01,773.4677866864346,21.9348055695494,27.81128883540701,21.417266845703125,4112.115234375
12,1,0.01,769.9607251331017,21.912490292141836,27.748166158020275,21.41295878092448,4111.2880859375
13,1,0.01,768.7465438138967,21.89197951182723,27.726278939192266,21.412086486816406,4111.12060546875
14,1,0.01,769.1124943028335,21.903707803537447,27.732877497707186,21.414410909016926,4111.56689453125
15,1,0.01,768.9310782910783,21.90029151489337,27.729606529683725,21.411448160807293,4110.998046875
16,1,0.01,767.7247592787976,21.884575539578993,27.707846529075436,21.409344991048176,4110.59423828125
17,1,0.01,768.4658151095069,21.89068666473031,27.721215974583565,21.41265614827474,4111.22998046875
18,1,0.01,767.7219276761625,21.884681208680075,27.70779543154169,21.409891764322918,4110.69921875
19,1,0.01,766.751268884469,21.878499041001003,27.690273904107,21.415598551432293,4111.794921875
20,1,0.01,762.0041598808102,21.84949392701189,27.60442283187262,21.40211232503255,4109.20556640625
21,1,0.01,759.1930746924778,21.823101951430242,27.553458488771927,21.40245819091797,4109.27197265625
22,1,0.01,759.724570546126,21.829880331953365,27.56310161331859,21.397806803385418,4108.37890625
23,1,0.01,759.0295763034702,21.821794539690018,27.55049139858435,21.3986078898112,4108.53271484375
24,1,0.01,759.8703963504657,21.830862276256084,27.565746794717274,21.39525095621745,4107.88818359375
25,1,0.009000000000000001,761.1985019177928,21.83216995249192,27.589826058128615,21.396626790364582,4108.15234375
26,1,0.009000000000000001,760.3790252566341,21.822310522198677,27.57497099285209,21.403101603190105,4109.3955078125
27,1,0.009000000000000001,763.3490422218478,21.846760258078575,27.62877199988895,21.397628784179688,4108.3447265625
28,1,0.009000000000000001,769.0762456192812,21.877258049945038,27.73222395732591,21.39820098876953,4108.45458984375
29,1,0.009000000000000001,771.8199366999196,21.900559374441702,27.781647479944734,21.394805908203125,4107.802734375
30,1,0.009000000000000001,773.0408336831186,21.920842206726473,27.803611881968116,21.3965581258138,4108.13916015625
31,1,0.009000000000000001,774.6278984067303,21.92169990638892,27.83213786985704,21.396163940429688,4108.0634765625
32,1,0.009000000000000001,776.6222092206616,21.947603903710842,27.8679423212526,21.38897196451823,4106.6826171875
33,1,0.009000000000000001,773.7441242885758,21.934856531520683,27.816256475100595,21.386815388997395,4106.2685546875
34,1,0.009000000000000001,770.7186984987742,21.911129218836624,27.761820878659496,21.385464986165363,4106.00927734375
35,1,0.009000000000000001,772.6671345195513,21.92553085585435,27.796890734748576,21.38665262858073,4106.2373046875
36,1,0.009000000000000001,771.8538823253367,21.914512041956186,27.782258409375878,21.3829345703125,4105.5234375
