who,problem,when,try,problem_len,input_len,output_len,diff,result
#NAME?,math,2024-05-26 20:56:00,15,66,35,38,0,1
#NAME?,bitmasks constructive_algorithms greedymath,2024-05-26 18:27:00,18,67,38,37,0,1
#NAME?,brute_force data_structures dp greedy math number_theory sortings,2024-05-26 18:39:00,19,133,64,14,1,1
#NAME?,bitmasks brute_force greedy hashing,2024-05-29 06:51:00,4,60,60,56,1,1
*21r21a1206,math,2024-05-26 18:58:00,2,66,35,38,0,0
*21r21a1206,bitmasks constructive_algorithms greedymath,2024-05-26 19:03:00,2,67,38,37,0,0
*220020058,bitmasks constructive_algorithms greedymath,2024-05-26 18:28:00,14,67,38,37,0,0
*220020058,brute_force data_structures dp greedy math number_theory sortings,2024-05-26 19:16:00,4,133,64,14,1,0
*22211a6636,math,2024-05-26 18:22:00,16,66,35,38,0,0
*22211a6636,bitmasks constructive_algorithms greedymath,2024-05-26 18:55:00,4,67,38,37,0,0
*22211a6636,brute_force data_structures dp greedy math number_theory sortings,2024-05-26 19:22:00,5,133,64,14,1,0
*22211a6758,bitmasks constructive_algorithms greedymath,2024-05-26 18:31:00,2,67,38,37,0,0
*415411,constructive_algorithms graphs interactive,2024-05-26 19:31:00,3,238,45,215,2,0
*7oSSam_JR,math,2024-05-26 19:05:00,2,66,35,38,0,0
*7oSSam_JR,bitmasks constructive_algorithms greedymath,2024-05-26 19:02:00,2,67,38,37,0,0
*7oSSam_JR,brute_force data_structures dp greedy math number_theory sortings,2024-05-26 19:12:00,2,133,64,14,1,0
*874641984,bitmasks brute_force greedy hashing,2024-05-26 18:52:00,13,60,60,56,1,1
*888andrei888,bitmasks constructive_algorithms greedymath,2024-05-26 18:16:00,7,67,38,37,0,0
*ASHWANTH_K,bitmasks brute_force greedy hashing,2024-05-26 19:20:00,10,60,60,56,1,0
*A_man007,bitmasks constructive_algorithms greedymath,2024-05-26 18:38:00,5,67,38,37,0,0
*Aaryan_782,bitmasks constructive_algorithms greedymath,2024-05-26 19:04:00,2,67,38,37,0,0
*Aayan20004,bitmasks constructive_algorithms greedymath,2024-05-26 18:17:00,9,67,38,37,0,0
*Abhinav_Shukla1,bitmasks constructive_algorithms greedymath,2024-05-26 18:13:00,7,67,38,37,0,0
*AdarshSharma__,bitmasks constructive_algorithms greedymath,2024-05-26 18:40:00,2,67,38,37,0,0
*Aditya_singh_yadav,bitmasks constructive_algorithms greedymath,2024-05-26 19:19:00,3,67,38,37,0,0
